"Age","Race.Sex","Year","Survival","SurvivalP","Deaths","qx"
" 90","African American All","1930",2044,0.02044,1406,0.6878669276
" 95","African American All","1930",638,0.00638,518,0.8119122257
"100","African American All","1930",120,0.0012,120,1
"  0","African American Male","1930",1e+05,1,8732,0.08732
"  1","African American Male","1930",91268,0.91268,2856,0.0312924574
"  5","African American Male","1930",88412,0.88412,1101,0.0124530607
" 10","African American Male","1930",87311,0.87311,1159,0.013274387
" 15","African American Male","1930",86152,0.86152,2531,0.0293783081
" 20","African American Male","1930",83621,0.83621,4105,0.0490905395
" 25","African American Male","1930",79516,0.79516,4433,0.0557497862
" 30","African American Male","1930",75083,0.75083,5034,0.0670458026
" 35","African American Male","1930",70049,0.70049,5339,0.0762180759
" 40","African American Male","1930",64710,0.6471,6278,0.0970174625
" 45","African American Male","1930",58432,0.58432,6684,0.1143893757
" 50","African American Male","1930",51748,0.51748,7312,0.1413001469
" 55","African American Male","1930",44436,0.44436,7646,0.1720676929
" 60","African American Male","1930",36790,0.3679,7476,0.2032073933
" 65","African American Male","1930",29314,0.29314,7573,0.2583407246
" 70","African American Male","1930",21741,0.21741,7322,0.3367830367
" 75","African American Male","1930",14419,0.14419,6180,0.4286011513
" 80","African American Male","1930",8239,0.08239,4579,0.5557713315
" 85","African American Male","1930",3660,0.0366,2414,0.6595628415
" 90","African American Male","1930",1246,0.01246,939,0.753611557
" 95","African American Male","1930",307,0.00307,266,0.8664495114
"100","African American Male","1930",41,0.00041,41,1
"  0","African American Female","1930",1e+05,1,7204,0.07204
"  1","African American Female","1930",92796,0.92796,2611,0.0281369887
"  5","African American Female","1930",90185,0.90185,984,0.0109109054
" 10","African American Female","1930",89201,0.89201,1113,0.0124774386
" 15","African American Female","1930",88088,0.88088,3010,0.0341703751
" 20","African American Female","1930",85078,0.85078,4011,0.0471449728
" 25","African American Female","1930",81067,0.81067,4251,0.0524381068
" 30","African American Female","1930",76816,0.76816,4624,0.0601957925
" 35","African American Female","1930",72192,0.72192,4921,0.0681654477
" 40","African American Female","1930",67271,0.67271,5906,0.0877941461
" 45","African American Female","1930",61365,0.61365,6445,0.1050272957
" 50","African American Female","1930",54920,0.5492,7846,0.1428623452
" 55","African American Female","1930",47074,0.47074,8313,0.1765942983
" 60","African American Female","1930",38761,0.38761,7909,0.2040453033
" 65","African American Female","1930",30852,0.30852,7511,0.2434526125
" 70","African American Female","1930",23341,0.23341,6765,0.2898333405
" 75","African American Female","1930",16576,0.16576,5754,0.3471283784
" 80","African American Female","1930",10822,0.10822,4789,0.4425244872
" 85","African American Female","1930",6033,0.06033,3259,0.5401955909
" 90","African American Female","1930",2774,0.02774,1833,0.660778659
" 95","African American Female","1930",941,0.00941,748,0.7948990436
"100","African American Female","1930",193,0.00193,193,1
"  0","All","1920",1e+05,1,7485,0.07485
"  1","All","1920",92515,0.92515,3126,0.0337891153
"  5","All","1920",89389,0.89389,1260,0.0140956941
" 10","All","1920",88129,0.88129,985,0.0111767976
" 15","All","1920",87144,0.87144,1703,0.0195423667
" 20","All","1920",85441,0.85441,2295,0.0268606407
" 25","All","1920",83146,0.83146,2504,0.0301157001
" 30","All","1920",80642,0.80642,2681,0.0332457032
" 35","All","1920",77961,0.77961,2847,0.0365182591
" 40","All","1920",75114,0.75114,3078,0.0409777139
" 45","All","1920",72036,0.72036,3607,0.0500721861
" 50","All","1920",68429,0.68429,4482,0.0654985459
" 55","All","1920",63947,0.63947,5868,0.0917634916
" 60","All","1920",58079,0.58079,7519,0.1294615954
" 65","All","1920",50560,0.5056,9470,0.1873022152
" 70","All","1920",41090,0.4109,11361,0.2764906303
" 75","All","1920",29729,0.29729,11431,0.3845067106
" 80","All","1920",18298,0.18298,9615,0.5254672642
" 85","All","1920",8683,0.08683,5742,0.6612921801
" 90","All","1920",2941,0.02941,2295,0.7803468208
" 95","All","1920",646,0.00646,579,0.8962848297
"100","All","1920",67,0.00067,67,1
"  0","All Male","1920",1e+05,1,8255,0.08255
"  1","All Male","1920",91745,0.91745,3240,0.035315276
"  5","All Male","1920",88505,0.88505,1321,0.0149257104
" 10","All Male","1920",87184,0.87184,1028,0.0117911543
" 15","All Male","1920",86156,0.86156,1716,0.0199173592
" 20","All Male","1920",84440,0.8444,2188,0.0259118901
" 25","All Male","1920",82252,0.82252,2362,0.028716627
" 30","All Male","1920",79890,0.7989,2376,0.0297408937
" 35","All Male","1920",77514,0.77514,3082,0.0397605594
" 40","All Male","1920",74432,0.74432,3188,0.0428310404
" 45","All Male","1920",71244,0.71244,3691,0.0518078715
" 50","All Male","1920",67553,0.67553,4588,0.0679170429
" 55","All Male","1920",62965,0.62965,6048,0.096053363
" 60","All Male","1920",56917,0.56917,7699,0.1352671434
" 65","All Male","1920",49218,0.49218,9550,0.1940347028
" 70","All Male","1920",39668,0.39668,11352,0.2861752546
" 75","All Male","1920",28316,0.28316,11188,0.395112304
" 80","All Male","1920",17128,0.17128,9208,0.5375992527
" 85","All Male","1920",7920,0.0792,5393,0.6809343434
" 90","All Male","1920",2527,0.02527,1971,0.7799762564
" 95","All Male","1920",556,0.00556,494,0.8884892086
"100","All Male","1920",62,0.00062,62,1
"  0","All Female","1920",1e+05,1,6617,0.06617
"  1","All Female","1920",93383,0.93383,3003,0.0321578874
"  5","All Female","1920",90380,0.9038,1194,0.0132108874
" 10","All Female","1920",89186,0.89186,939,0.0105285583
" 15","All Female","1920",88247,0.88247,1691,0.0191621245
" 20","All Female","1920",86556,0.86556,2421,0.0279703313
" 25","All Female","1920",84135,0.84135,2672,0.0317584834
" 30","All Female","1920",81463,0.81463,2750,0.0337576569
" 35","All Female","1920",78713,0.78713,2806,0.0356484952
" 40","All Female","1920",75907,0.75907,2953,0.038902868
" 45","All Female","1920",72954,0.72954,3502,0.0480028511
" 50","All Female","1920",69452,0.69452,4353,0.0626763808
" 55","All Female","1920",65099,0.65099,5661,0.0869598611
" 60","All Female","1920",59438,0.59438,7312,0.1230189441
" 65","All Female","1920",52126,0.52126,9385,0.1800445075
" 70","All Female","1920",42741,0.42741,11397,0.2666526286
" 75","All Female","1920",31344,0.31344,11731,0.3742662072
" 80","All Female","1920",19613,0.19613,10098,0.5148625911
" 85","All Female","1920",9515,0.09515,6201,0.6517078297
" 90","All Female","1920",3314,0.03314,2586,0.7803258902
" 95","All Female","1920",728,0.00728,656,0.9010989011
"100","All Female","1920",72,0.00072,72,1
"  0","White All","1920",1e+05,1,7220,0.0722
"  1","White All","1920",92780,0.9278,3009,0.0324315585
"  5","White All","1920",89771,0.89771,1235,0.0137572267
" 10","White All","1920",88536,0.88536,903,0.010199241
" 15","White All","1920",87633,0.87633,1474,0.0168201477
" 20","White All","1920",86159,0.86159,2053,0.0238280389
" 25","White All","1920",84106,0.84106,2319,0.0275723492
" 30","White All","1920",81787,0.81787,2510,0.0306894739
" 35","White All","1920",79277,0.79277,2635,0.0332378874
" 40","White All","1920",76642,0.76642,2937,0.038321025
" 45","White All","1920",73705,0.73705,3455,0.04687606
" 50","White All","1920",70250,0.7025,4375,0.0622775801
" 55","White All","1920",65875,0.65875,5862,0.0889867173
" 60","White All","1920",60013,0.60013,7602,0.1266725543
" 65","White All","1920",52411,0.52411,9675,0.184598653
" 70","White All","1920",42736,0.42736,11650,0.2726038937
" 75","White All","1920",31086,0.31086,11937,0.3839992279
" 80","White All","1920",19149,0.19149,10071,0.5259282469
" 85","White All","1920",9078,0.09078,6087,0.6705221414
" 90","White All","1920",2991,0.02991,2348,0.7850217319
" 95","White All","1920",643,0.00643,581,0.9035769829
"100","White All","1920",62,0.00062,62,1
"  0","White Male","1920",1e+05,1,8025,0.08025
"  1","White Male","1920",91975,0.91975,3133,0.0340636042
"  5","White Male","1920",88842,0.88842,1312,0.01476779
" 10","White Male","1920",87530,0.8753,984,0.0112418599
" 15","White Male","1920",86546,0.86546,1549,0.0178979964
" 20","White Male","1920",84997,0.84997,1936,0.0227772745
" 25","White Male","1920",83061,0.83061,2173,0.0261614958
" 30","White Male","1920",80888,0.80888,2447,0.0302517061
" 35","White Male","1920",78441,0.78441,2708,0.0345227623
" 40","White Male","1920",75733,0.75733,3037,0.0401014089
" 45","White Male","1920",72696,0.72696,3589,0.0493699791
" 50","White Male","1920",69107,0.69107,4533,0.065593934
" 55","White Male","1920",64574,0.64574,6076,0.094093598
" 60","White Male","1920",58498,0.58498,7835,0.1339362029
" 65","White Male","1920",50663,0.50663,9790,0.1932376685
" 70","White Male","1920",40873,0.40873,11668,0.2854696254
" 75","White Male","1920",29205,0.29205,11550,0.395480226
" 80","White Male","1920",17655,0.17655,9501,0.5381478335
" 85","White Male","1920",8154,0.08154,5586,0.685062546
" 90","White Male","1920",2568,0.02568,2012,0.7834890966
" 95","White Male","1920",556,0.00556,495,0.8902877698
"100","White Male","1920",61,0.00061,61,1
"  0","White Female","1920",1e+05,1,6392,0.06392
"  1","White Female","1920",93608,0.93608,2887,0.0308413811
"  5","White Female","1920",90721,0.90721,1157,0.0127533868
" 10","White Female","1920",89564,0.89564,852,0.0095127507
" 15","White Female","1920",88712,0.88712,1431,0.0161308504
" 20","White Female","1920",87281,0.87281,2118,0.0242664497
" 25","White Female","1920",85163,0.85163,2423,0.0284513228
" 30","White Female","1920",82740,0.8274,2534,0.0306260575
" 35","White Female","1920",80206,0.80206,2582,0.0321921053
" 40","White Female","1920",77624,0.77624,2753,0.0354658353
" 45","White Female","1920",74871,0.74871,3324,0.0443963617
" 50","White Female","1920",71547,0.71547,4224,0.0590381148
" 55","White Female","1920",67323,0.67323,5619,0.0834633038
" 60","White Female","1920",61704,0.61704,7405,0.1200084273
" 65","White Female","1920",54299,0.54299,9661,0.1779222453
" 70","White Female","1920",44638,0.44638,11861,0.2657153098
" 75","White Female","1920",32777,0.32777,12285,0.3748055039
" 80","White Female","1920",20492,0.20492,10583,0.5164454421
" 85","White Female","1920",9909,0.09909,6537,0.6597033
" 90","White Female","1920",3372,0.03372,2651,0.7861803084
" 95","White Female","1920",721,0.00721,658,0.9126213592
"100","White Female","1920",63,0.00063,63,1
"  0","African American All","1920",1e+05,1,9621,0.09621
"  1","African American All","1920",90379,0.90379,4205,0.0465262948
"  5","African American All","1920",86174,0.86174,1484,0.0172209715
" 10","African American All","1920",84690,0.8469,1510,0.017829732
" 15","African American All","1920",83180,0.8318,3539,0.0425462852
" 20","African American All","1920",79641,0.79641,4668,0.058613026
" 25","African American All","1920",74973,0.74973,4481,0.0597681832
" 30","African American All","1920",70492,0.70492,4627,0.065638654
" 35","African American All","1920",65865,0.65865,4621,0.0701586579
" 40","African American All","1920",61244,0.61244,4802,0.0784076808
" 45","African American All","1920",56442,0.56442,5020,0.0889408596
" 50","African American All","1920",51422,0.51422,5619,0.1092722959
" 55","African American All","1920",45803,0.45803,6385,0.1394013493
" 60","African American All","1920",39418,0.39418,6680,0.1694657263
" 65","African American All","1920",32738,0.32738,7153,0.218492272
" 70","African American All","1920",25585,0.25585,7574,0.2960328317
" 75","African American All","1920",18011,0.18011,6635,0.3683859863
" 80","African American All","1920",11376,0.11376,5582,0.4906821378
" 85","African American All","1920",5794,0.05794,3477,0.6001035554
" 90","African American All","1920",2317,0.02317,1628,0.7026327147
" 95","African American All","1920",689,0.00689,560,0.8127721335
"100","African American All","1920",129,0.00129,129,1
"  0","African American Male","1920",1e+05,1,10501,0.10501
"  1","African American Male","1920",89499,0.89499,4304,0.0480899228
"  5","African American Male","1920",85195,0.85195,1427,0.0167498093
" 10","African American Male","1920",83768,0.83768,1436,0.0171425843
" 15","African American Male","1920",82332,0.82332,3275,0.0397779721
" 20","African American Male","1920",79057,0.79057,4517,0.0571359905
" 25","African American Male","1920",74540,0.7454,4196,0.0562919238
" 30","African American Male","1920",70344,0.70344,4471,0.0635590811
" 35","African American Male","1920",65873,0.65873,4520,0.068616884
" 40","African American Male","1920",61353,0.61353,4764,0.0776490147
" 45","African American Male","1920",56589,0.56589,4709,0.0832140522
" 50","African American Male","1920",51880,0.5188,5299,0.1021395528
" 55","African American Male","1920",46581,0.46581,6075,0.1304179816
" 60","African American Male","1920",40506,0.40506,6464,0.1595812966
" 65","African American Male","1920",34042,0.34042,7119,0.2091240233
" 70","African American Male","1920",26923,0.26923,8069,0.2997065706
" 75","African American Male","1920",18854,0.18854,7239,0.3839503554
" 80","African American Male","1920",11615,0.11615,6010,0.5174343521
" 85","African American Male","1920",5605,0.05605,3565,0.6360392507
" 90","African American Male","1920",2040,0.0204,1488,0.7294117647
" 95","African American Male","1920",552,0.00552,475,0.8605072464
"100","African American Male","1920",77,0.00077,77,1
"  0","African American Female","1920",1e+05,1,8749,0.08749
"  1","African American Female","1920",91251,0.91251,4102,0.044952932
"  5","African American Female","1920",87149,0.87149,1542,0.0176938347
" 10","African American Female","1920",85607,0.85607,1653,0.0193091686
" 15","African American Female","1920",83954,0.83954,3800,0.0452628821
" 20","African American Female","1920",80154,0.80154,4795,0.059822342
" 25","African American Female","1920",75359,0.75359,4726,0.0627131464
" 30","African American Female","1920",70633,0.70633,4776,0.0676171195
" 35","African American Female","1920",65857,0.65857,4727,0.0717767284
" 40","African American Female","1920",61130,0.6113,4900,0.0801570424
" 45","African American Female","1920",56230,0.5623,5450,0.0969233505
" 50","African American Female","1920",50780,0.5078,6038,0.1189050807
" 55","African American Female","1920",44742,0.44742,6788,0.1517142729
" 60","African American Female","1920",37954,0.37954,6910,0.1820624967
" 65","African American Female","1920",31044,0.31044,6937,0.2234570287
" 70","African American Female","1920",24107,0.24107,6891,0.2858505828
" 75","African American Female","1920",17216,0.17216,6065,0.3522885688
" 80","African American Female","1920",11151,0.11151,5179,0.4644426509
" 85","African American Female","1920",5972,0.05972,3393,0.5681513731
" 90","African American Female","1920",2579,0.02579,1761,0.6828227995
" 95","African American Female","1920",818,0.00818,639,0.7811735941
"100","African American Female","1920",179,0.00179,179,1
"  0","All","1910",1e+05,1,11462,0.11462
"  1","All","1910",88538,0.88538,4651,0.0525311166
"  5","All","1910",83887,0.83887,1429,0.0170348207
" 10","All","1910",82458,0.82458,952,0.0115452715
" 15","All","1910",81506,0.81506,1432,0.0175692587
" 20","All","1910",80074,0.80074,2028,0.0253265729
" 25","All","1910",78046,0.78046,2267,0.0290469723
" 30","All","1910",75779,0.75779,2652,0.034996503
" 35","All","1910",73127,0.73127,3085,0.0421868804
" 40","All","1910",70042,0.70042,3481,0.0496987522
" 45","All","1910",66561,0.66561,4101,0.0616126561
" 50","All","1910",62460,0.6246,4905,0.0785302594
" 55","All","1910",57555,0.57555,6417,0.1114933542
" 60","All","1910",51138,0.51138,7944,0.1553443623
" 65","All","1910",43194,0.43194,9378,0.217113488
" 70","All","1910",33816,0.33816,10264,0.3035249586
" 75","All","1910",23552,0.23552,9840,0.417798913
" 80","All","1910",13712,0.13712,7711,0.5623541424
" 85","All","1910",6001,0.06001,4133,0.6887185469
" 90","All","1910",1868,0.01868,1507,0.806745182
" 95","All","1910",361,0.00361,321,0.8891966759
"100","All","1910",40,4e-04,40,1
"  0","All Male","1910",1e+05,1,12495,0.12495
"  1","All Male","1910",87505,0.87505,4787,0.0547054454
"  5","All Male","1910",82718,0.82718,1469,0.0177591334
" 10","All Male","1910",81249,0.81249,988,0.0121601497
" 15","All Male","1910",80261,0.80261,1469,0.0183027872
" 20","All Male","1910",78792,0.78792,2117,0.02686821
" 25","All Male","1910",76675,0.76675,2297,0.0299576133
" 30","All Male","1910",74378,0.74378,2764,0.0371615263
" 35","All Male","1910",71614,0.71614,3317,0.0463177591
" 40","All Male","1910",68297,0.68297,3779,0.0553318594
" 45","All Male","1910",64518,0.64518,4400,0.0681980223
" 50","All Male","1910",60118,0.60118,5148,0.0856315912
" 55","All Male","1910",54970,0.5497,6627,0.1205566673
" 60","All Male","1910",48343,0.48343,8079,0.1671183005
" 65","All Male","1910",40264,0.40264,9241,0.2295102325
" 70","All Male","1910",31023,0.31023,9810,0.3162170003
" 75","All Male","1910",21213,0.21213,9271,0.4370433225
" 80","All Male","1910",11942,0.11942,6883,0.5763691174
" 85","All Male","1910",5059,0.05059,3557,0.7031033801
" 90","All Male","1910",1502,0.01502,1213,0.8075898802
" 95","All Male","1910",289,0.00289,256,0.8858131488
"100","All Male","1910",33,0.00033,33,1
"  0","All Female","1910",1e+05,1,10377,0.10377
"  1","All Female","1910",89623,0.89623,4506,0.0502772726
"  5","All Female","1910",85117,0.85117,1389,0.0163187142
" 10","All Female","1910",83728,0.83728,915,0.0109282438
" 15","All Female","1910",82813,0.82813,1395,0.0168451813
" 20","All Female","1910",81418,0.81418,1937,0.0237908079
" 25","All Female","1910",79481,0.79481,2234,0.0281073464
" 30","All Female","1910",77247,0.77247,2528,0.03272619
" 35","All Female","1910",74719,0.74719,2825,0.0378083218
" 40","All Female","1910",71894,0.71894,3139,0.0436615017
" 45","All Female","1910",68755,0.68755,3754,0.0545996655
" 50","All Female","1910",65001,0.65001,4609,0.0709066014
" 55","All Female","1910",60392,0.60392,6166,0.1020996158
" 60","All Female","1910",54226,0.54226,7788,0.1436211412
" 65","All Female","1910",46438,0.46438,9522,0.2050475903
" 70","All Female","1910",36916,0.36916,10761,0.2914996208
" 75","All Female","1910",26155,0.26155,10473,0.4004205697
" 80","All Female","1910",15682,0.15682,8631,0.5503762275
" 85","All Female","1910",7051,0.07051,4782,0.6782016735
" 90","All Female","1910",2269,0.02269,1828,0.8056412517
" 95","All Female","1910",441,0.00441,392,0.8888888889
"100","All Female","1910",49,0.00049,49,1
"  0","White All","1910",1e+05,1,11291,0.11291
"  1","White All","1910",88709,0.88709,4562,0.0514265745
"  5","White All","1910",84147,0.84147,1413,0.0167920425
" 10","White All","1910",82734,0.82734,918,0.011095801
" 15","White All","1910",81816,0.81816,1409,0.0172215704
" 20","White All","1910",80407,0.80407,2015,0.0250600072
" 25","White All","1910",78392,0.78392,2225,0.0283829983
" 30","White All","1910",76167,0.76167,2599,0.034122389
" 35","White All","1910",73568,0.73568,3043,0.0413630926
" 40","White All","1910",70525,0.70525,3435,0.0487061326
" 45","White All","1910",67090,0.6709,4096,0.0610523178
" 50","White All","1910",62994,0.62994,4831,0.0766898435
" 55","White All","1910",58163,0.58163,6341,0.109021199
" 60","White All","1910",51822,0.51822,7918,0.1527922504
" 65","White All","1910",43904,0.43904,9420,0.2145590379
" 70","White All","1910",34484,0.34484,10333,0.2996462127
" 75","White All","1910",24151,0.24151,10051,0.4161732433
" 80","White All","1910",14100,0.141,7922,0.5618439716
" 85","White All","1910",6178,0.06178,4260,0.6895435416
" 90","White All","1910",1918,0.01918,1554,0.8102189781
" 95","White All","1910",364,0.00364,326,0.8956043956
"100","White All","1910",38,0.00038,38,1
"  0","White Male","1910",1e+05,1,12326,0.12326
"  1","White Male","1910",87674,0.87674,4702,0.0536304948
"  5","White Male","1910",82972,0.82972,1453,0.0175119317
" 10","White Male","1910",81519,0.81519,970,0.0118990665
" 15","White Male","1910",80549,0.80549,1433,0.0177904133
" 20","White Male","1910",79116,0.79116,2069,0.0261514738
" 25","White Male","1910",77047,0.77047,2237,0.0290342259
" 30","White Male","1910",74810,0.7481,2702,0.036118166
" 35","White Male","1910",72108,0.72108,3260,0.0452099628
" 40","White Male","1910",68848,0.68848,3733,0.0542208924
" 45","White Male","1910",65115,0.65115,4374,0.0671734623
" 50","White Male","1910",60741,0.60741,5119,0.0842758598
" 55","White Male","1910",55622,0.55622,6635,0.1192873324
" 60","White Male","1910",48987,0.48987,8125,0.1658603303
" 65","White Male","1910",40862,0.40862,9335,0.2284518624
" 70","White Male","1910",31527,0.31527,9942,0.3153487487
" 75","White Male","1910",21585,0.21585,9425,0.4366458189
" 80","White Male","1910",12160,0.1216,7015,0.5768914474
" 85","White Male","1910",5145,0.05145,3622,0.7039844509
" 90","White Male","1910",1523,0.01523,1234,0.8102429416
" 95","White Male","1910",289,0.00289,258,0.892733564
"100","White Male","1910",31,0.00031,31,1
"  0","White Female","1910",1e+05,1,10226,0.10226
"  1","White Female","1910",89774,0.89774,4425,0.0492904404
"  5","White Female","1910",85349,0.85349,1370,0.0160517405
" 10","White Female","1910",83979,0.83979,886,0.0105502566
" 15","White Female","1910",83093,0.83093,1343,0.016162613
" 20","White Female","1910",81750,0.8175,1885,0.023058104
" 25","White Female","1910",79865,0.79865,2189,0.0274087523
" 30","White Female","1910",77676,0.77676,2476,0.0318759977
" 35","White Female","1910",75200,0.752,2775,0.0369015957
" 40","White Female","1910",72425,0.72425,3084,0.0425819814
" 45","White Female","1910",69341,0.69341,3712,0.0535325421
" 50","White Female","1910",65629,0.65629,4576,0.0697252739
" 55","White Female","1910",61053,0.61053,6153,0.1007812884
" 60","White Female","1910",54900,0.549,7814,0.1423315118
" 65","White Female","1910",47086,0.47086,9604,0.2039672089
" 70","White Female","1910",37482,0.37482,10913,0.2911530868
" 75","White Female","1910",26569,0.26569,10640,0.4004667093
" 80","White Female","1910",15929,0.15929,8777,0.5510075962
" 85","White Female","1910",7152,0.07152,4861,0.6796700224
" 90","White Female","1910",2291,0.02291,1857,0.8105630729
" 95","White Female","1910",434,0.00434,390,0.8986175115
"100","White Female","1910",44,0.00044,44,1
"  0","African American All","1910",1e+05,1,20216,0.20216
"  1","African American All","1910",79784,0.79784,9093,0.1139702196
"  5","African American All","1910",70691,0.70691,2254,0.0318852471
" 10","African American All","1910",68437,0.68437,2027,0.0296184812
" 15","African American All","1910",66410,0.6641,3245,0.048863123
" 20","African American All","1910",63165,0.63165,3557,0.0563128315
" 25","African American All","1910",59608,0.59608,3496,0.0586498457
" 30","African American All","1910",56112,0.56112,3987,0.0710543199
" 35","African American All","1910",52125,0.52125,4259,0.0817074341
" 40","African American All","1910",47866,0.47866,4812,0.1005306481
" 45","African American All","1910",43054,0.43054,5254,0.122032796
" 50","African American All","1910",37800,0.378,5567,0.1472751323
" 55","African American All","1910",32233,0.32233,6187,0.1919461422
" 60","African American All","1910",26046,0.26046,6240,0.2395761345
" 65","African American All","1910",19806,0.19806,5785,0.2920832071
" 70","African American All","1910",14021,0.14021,4882,0.3481919977
" 75","African American All","1910",9139,0.09139,3981,0.4356056461
" 80","African American All","1910",5158,0.05158,2744,0.5319891431
" 85","African American All","1910",2414,0.02414,1501,0.6217895609
" 90","African American All","1910",913,0.00913,589,0.6451259584
" 95","African American All","1910",324,0.00324,247,0.762345679
"100","African American All","1910",77,0.00077,77,1
"  0","African American Male","1910",1e+05,1,21935,0.21935
"  1","African American Male","1910",78065,0.78065,9476,0.1213860245
"  5","African American Male","1910",68589,0.68589,2212,0.0322500693
" 10","African American Male","1910",66377,0.66377,1899,0.0286093074
" 15","African American Male","1910",64478,0.64478,3052,0.0473339744
" 20","African American Male","1910",61426,0.61426,3690,0.0600722821
" 25","African American Male","1910",57736,0.57736,3663,0.0634439518
" 30","African American Male","1910",54073,0.54073,4208,0.0778207238
" 35","African American Male","1910",49865,0.49865,4451,0.0892610047
" 40","African American Male","1910",45414,0.45414,4851,0.106817281
" 45","African American Male","1910",40563,0.40563,5136,0.1266178537
" 50","African American Male","1910",35427,0.35427,5673,0.1601321026
" 55","African American Male","1910",29754,0.29754,6004,0.2017879949
" 60","African American Male","1910",23750,0.2375,5944,0.2502736842
" 65","African American Male","1910",17806,0.17806,5511,0.3095024149
" 70","African American Male","1910",12295,0.12295,4801,0.3904839366
" 75","African American Male","1910",7494,0.07494,3600,0.4803843074
" 80","African American Male","1910",3894,0.03894,2147,0.5513610683
" 85","African American Male","1910",1747,0.01747,1152,0.659416142
" 90","African American Male","1910",595,0.00595,406,0.6823529412
" 95","African American Male","1910",189,0.00189,149,0.7883597884
"100","African American Male","1910",40,4e-04,40,1
"  0","African American Female","1910",1e+05,1,18507,0.18507
"  1","African American Female","1910",81493,0.81493,8725,0.1070644104
"  5","African American Female","1910",72768,0.72768,2260,0.0310576077
" 10","African American Female","1910",70508,0.70508,2290,0.032478584
" 15","African American Female","1910",68218,0.68218,3454,0.0506317981
" 20","African American Female","1910",64764,0.64764,3334,0.0514792168
" 25","African American Female","1910",61430,0.6143,3149,0.0512615986
" 30","African American Female","1910",58281,0.58281,3686,0.0632453115
" 35","African American Female","1910",54595,0.54595,4027,0.0737613335
" 40","African American Female","1910",50568,0.50568,4621,0.0913819016
" 45","African American Female","1910",45947,0.45947,5061,0.1101486495
" 50","African American Female","1910",40886,0.40886,5471,0.1338110845
" 55","African American Female","1910",35415,0.35415,6507,0.1837357052
" 60","African American Female","1910",28908,0.28908,6606,0.2285180573
" 65","African American Female","1910",22302,0.22302,6431,0.2883597884
" 70","African American Female","1910",15871,0.15871,5214,0.3285237225
" 75","African American Female","1910",10657,0.10657,4333,0.4065872197
" 80","African American Female","1910",6324,0.06324,3295,0.521030993
" 85","African American Female","1910",3029,0.03029,1823,0.601848795
" 90","African American Female","1910",1206,0.01206,758,0.6285240464
" 95","African American Female","1910",448,0.00448,336,0.75
"100","African American Female","1910",112,0.00112,112,1
"  0","All","1900",1e+05,1,12448,0.12448
"  1","All","1900",87552,0.87552,5748,0.0656524123
"  5","All","1900",81804,0.81804,1752,0.0214170456
" 10","All","1900",80052,0.80052,1089,0.0136036576
" 15","All","1900",78963,0.78963,1724,0.0218330104
" 20","All","1900",77239,0.77239,2471,0.0319916105
" 25","All","1900",74768,0.74768,2725,0.0364460732
" 30","All","1900",72043,0.72043,2965,0.0411559763
" 35","All","1900",69078,0.69078,3188,0.0461507282
" 40","All","1900",65890,0.6589,3454,0.0524207012
" 45","All","1900",62436,0.62436,3922,0.0628163239
" 50","All","1900",58514,0.58514,4662,0.0796732406
" 55","All","1900",53852,0.53852,5906,0.10967095
" 60","All","1900",47946,0.47946,7035,0.1467275685
" 65","All","1900",40911,0.40911,8521,0.2082813913
" 70","All","1900",32390,0.3239,9430,0.2911392405
" 75","All","1900",22960,0.2296,9431,0.4107578397
" 80","All","1900",13529,0.13529,7476,0.552590731
" 85","All","1900",6053,0.06053,4186,0.6915579052
" 90","All","1900",1867,0.01867,1523,0.815747188
" 95","All","1900",344,0.00344,313,0.9098837209
"100","All","1900",31,0.00031,31,1
"  0","All Male","1900",1e+05,1,13574,0.13574
"  1","All Male","1900",86426,0.86426,5878,0.0680119409
"  5","All Male","1900",80548,0.80548,1773,0.0220117197
" 10","All Male","1900",78775,0.78775,1094,0.0138876547
" 15","All Male","1900",77681,0.77681,1697,0.0218457538
" 20","All Male","1900",75984,0.75984,2512,0.0330595915
" 25","All Male","1900",73472,0.73472,2725,0.0370889591
" 30","All Male","1900",70747,0.70747,2995,0.0423339506
" 35","All Male","1900",67752,0.67752,3305,0.0487808478
" 40","All Male","1900",64447,0.64447,3598,0.0558288206
" 45","All Male","1900",60849,0.60849,4113,0.0675935512
" 50","All Male","1900",56736,0.56736,4797,0.0845494924
" 55","All Male","1900",51939,0.51939,6044,0.116367277
" 60","All Male","1900",45895,0.45895,7159,0.1559864909
" 65","All Male","1900",38736,0.38736,8519,0.2199246179
" 70","All Male","1900",30217,0.30217,9141,0.3025118311
" 75","All Male","1900",21076,0.21076,8992,0.4266464225
" 80","All Male","1900",12084,0.12084,6905,0.5714167494
" 85","All Male","1900",5179,0.05179,3671,0.7088240973
" 90","All Male","1900",1508,0.01508,1246,0.8262599469
" 95","All Male","1900",262,0.00262,240,0.9160305344
"100","All Male","1900",22,0.00022,22,1
"  0","All Female","1900",1e+05,1,11267,0.11267
"  1","All Female","1900",88733,0.88733,5614,0.0632684571
"  5","All Female","1900",83119,0.83119,1729,0.0208015015
" 10","All Female","1900",81390,0.8139,1083,0.013306303
" 15","All Female","1900",80307,0.80307,1752,0.02181628
" 20","All Female","1900",78555,0.78555,2436,0.0310101203
" 25","All Female","1900",76119,0.76119,2725,0.0357992091
" 30","All Female","1900",73394,0.73394,2931,0.0399351446
" 35","All Female","1900",70463,0.70463,3056,0.0433702794
